INSERT INTO video_text (id, video_id, segment_number, full_text, starttime, endtime) VALUES
(76, 1, 76, 'when the title was suggested to be the promise of big data and a I I thought the first question really that we should address for audiences to understand whether we can hold a eye to its promise you know what it promises to do for legal work so what I think I we should do today really is really drilled down as to what I can and cannot do and Perhaps Perhaps the way we should think about it. Think of it is artificial intelligence but more augmented intelligence them down in to discuss certain use cases that have surfaced for AI in legal now this light is not mine I don''t think Lane credit for it and you can tell that it basically sets out on the left side of the screen some bull promises as it relates to 2A I at least inveigle thousand hundred thousand hundred thousand', '01:15:00', '01:15:59'),
(77, 1, 77, 'I''ll be automated by 20 36 22 36 is only 15 years away so that''s quite a bold promise it basically means that we''re going to reshape the entire legal industry I''ll go be no rollover Chino roll left untouched and the other thing that makes is that there''s a 94% average success rate of AI doing legal risk assessment tasks and this is important because that idea what is assessment what is it that they''re saying is leading to success in review of that risk that always made me wonder when they said 94% because if that''s true,', '01:16:00', '01:16:59'),
(78, 1, 78, 'also was 1 which is the automatic invoice generation this isn''t an area that doesn''t get doesn''t get a lot of attention to it because AI is actually around the analytics is certainly becoming a bigger part of running illegal operation surgeon operate a business give you more handles around how you practice is performing and you can help support back office functions will we often think about doing legal work but actually I can''t I and big they taking Ashley support the doing of legal work out of the business processes so I don''t matter invoice generation was one that''s raised and there''s one thing that could do to help infection a lot of costs from legal practice and it really is also helping management teams that they understand better example where is the riddle', '01:17:00', '01:17:59'),
(79, 1, 79, 'know what is the grocery areas candy do you and your comparisons in terms of Revenue growth data capture in terms of of the growth and spend by particular client on a on a certain firm all these could be very useful data points and it''s good that we can see more practice Management Solutions which are emerging that allow this to be executed and that really is about tapping into data and the promise of dictator has to do really with so what you choose to be the focus it gives you clustering of of of of of', '01:18:00', '01:18:59'),
(80, 1, 80, 'use of certain relevance rankings and it gives you a better way to map and structure the information that you''ve given and this is very important legal work because if your of small firm or small team that''s face with mountains of documents or information you need to make sense of them quickly and the time efficient way this does help and contrast legal research has a similar ways while using algorithms to help sit through materials so it''s the flag them up for your attention and that''s true with the IP searches as assistants as well what you dig through patents and identify portfolios and reduce search time this is already about relevance management contracts thousands of documents in the blink of an eye start turning out various identification identification identification', '01:19:00', '01:19:59'),
(81, 1, 81, 'missing causes mistakes anomalies and contracts a dishes application is predictable outcomes this is more than just mere relevance branching interasian this is actually moving towards taking steps forward and identifying potential alitiz prediction because more important and then the last bit voice assistance sa isip Help Services this is where we''re moving into a spectrum where there''s a lot more interactivity and there''s a lot more empowerment in terms of the the the the technology across the Spectrum in you entrust more and more', '01:20:00', '01:20:59'),
(82, 1, 82, 'work the legal work and illegal operations work to the to the machine so the left you have practice management and their identifying information pulling out reports an intelligent way and potentially giving you more access and inside using the data that you have then technology-assisted review drafting where a lawyer still very important during work and looking at the results dredged up by a particular review and this could include very commonly used things which are now in practice things like due diligence e-discovery where you go to Vasa documents and you can really bring yourself and you''re focused on two very important key points rapidly and that has actually improved and given a lot of benefits and driven growth in legal work Solutions lawyers lawyers', '01:21:00', '01:21:59'),
(83, 1, 83, 'understanding in sifting through ideas and abilities and then you go into the password might be more of a Holy Grail which is where I ultimately for certain legal processes you have human out-of-the-loop arrangements so for example if you were to talk about contract assembly from TV automated intelligent draft first full draft where virtually no mistakes and you could think about pulling that out as one of the end goals that you''re looking for and then you have chat password do the work of providing social Spectrum', '01:22:00', '01:22:59'),
(84, 1, 84, 'so consider contract automation review now what can a I do let''s say you have a thousand documents all with a particular clause and you want the the solution to NYC forces in in microseconds and then pick up certain things differences the first Claus''s party a will not be liable for any delay accepted to delacy 30 days from a certain to take the day the second example is well except if the losses exceed 1.5 times the delivery price so it''s still pretty objective information you can look at the last part is pollination not reliable except to the extent that the delay is reasonably foreseeable', '01:23:00', '01:23:59'),
(85, 1, 85, 'more sophisticated all the time they can analyze some of the key variables in language and work contracts contracts which has arisen so if you look through all these contracts in the due diligence you want to know if this company have risks or is it likely to face claim well weather reaches every reason isn''t something you can pull off the page and itself you might need to think about being able to identify information sitting elsewhere so delivery receipts or do orders or even let this Adam and that''s document sitting elsewhere and that''s something that you would need to drill down and pursue following through the line of enquiry suggested by a particular review it''s not income not within content not outside the realm of possibility that this could in fact it happened but certainly isn''t very at this point yet', '01:24:00', '01:24:59'),
(86, 1, 86, 'similar nature you look at work lost several recent based on information given in the data room if there''s any other you determine which other contracts were his links to', '01:25:00', '01:25:59'),
(87, 1, 87, 'commoditized contracts contracts were very few things ever change it''s a very set way of doing things it''s easier to manage a lot of that very quickly and make even more Intelligent Decisions around it and perhaps entrust more of the controls to the Spectrum but he was looking at bespoke contrast with this more negotiation that''s going to be a bit more difficult and you can consider that level of complexity to as it comes to transactions so in order for you to understand what kind of thinking is when we see quartz tell us each case must be judged according to his own facts and that''s kind of situation is just not enough that you just have access to', '01:26:00', '01:26:59'),
(88, 1, 88, 'experience and that is really important to showing out YouTube examples where this last was thinking in law and intuition is important this is a brick wall and you see them in some old hdb blocks', '01:27:00', '01:27:59'),
(89, 1, 89, 'on the stairwell this particular lawyer decided to go out and take a look do a site visit and found it this was the type of what he saw and it was really there that he discovered that there''s something wrong with the story and he took a picture he bought it he confronted the witness in cross-examination said this is the wall it was nighttime so you did you really see it in the witness at the time realize the impossibility of the difficulty of a shipping clear about what she saw it she said why I heard the Killer and the knife over which changed the testimony and then the discussion and review where you find connection', '01:28:00', '01:28:59'),
(90, 1, 90, 'already about exploration about intuition about creativity was not too different in the Big Data situation I don''t know if you read that this case there was a murder trial where an Apple iPhone was used to help solve the murder the defendant claimed that he was innocent but interesting enough to manage to his iPhone data and they found it under moments of when he was accused of perpetrating the Strangling he was the victim of activity only assume and identify as him climbing stairs but yet that was enough corroborating evidence', '01:29:00', '01:29:59'),
(91, 1, 91, 'that sounds a little bit about the nature of the work it isn''t just the text on the page it is an assessment that goes beyond that computing power and the sophistication of legal solutions to help us get more data has more access I could not visit the hdb block and see that that image if I Google Maps potentially maybe I could do that but at the end of the day that lateral thinking thinking outside the box looking behind the data and this could be something that we should consider when we think about the promising that you can''t press a button and get a really in-depth and well thought through legal risk analysis', '01:30:00', '01:30:59'),
(92, 1, 92, 'statement by believe the first spy that showed you that there may be many jobs that will disappear many new jobs have begun to appear ready and then you transact and their nature to transact can change because they would become more process-oriented and read the script the contract it isn''t necessary just to see what''s the documents there could be in fact decision-making and coating that goes into that hole elements and then we have to think of our processes themselves as we do so they''ll be no issues we already know that currently in data and then and they are there are issues of piracy their issues', '01:31:00', '01:31:59'),
(93, 1, 93, 'Jeffrey', '01:32:00', '01:32:59');
